filename,data
__junkpleaseignore__junkpleaseignore__junkpleaseignore,__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore__junkpleaseignore
DATASET1_1_4500_00001.png,Bx307.0y395.5x169.0y523.0x207.0y484.0x244.0y445.0x253.0y434.0x308.0y397.0Bx307.0y395.5x445.0y268.0x401.0y315.0x369.0y351.0x310.0y398.0
DATASET1_1_4500_00011.png,Bx317.5y398.5x146.0y476.0x191.0y451.0x253.0y419.0x317.0y399.0Bx317.5y398.5x489.0y321.0x393.0y372.0x373.0y381.0x317.0y400.0
DATASET1_1_4500_00021.png,Bx314.0y395.0x128.0y413.0x189.0y405.0x242.0y397.0x315.0y394.0Bx314.0y395.0x500.0y377.0x435.0y387.0x314.0y397.0
DATASET1_1_4500_00031.png,Bx314.0y420.5x131.0y378.0x189.0y389.0x317.0y422.0Bx314.0y420.5x497.0y463.0x408.0y448.0x313.0y421.0
DATASET1_1_4500_00041.png,Bx309.0y423.5x470.0y521.0x405.0y487.0x311.0y424.0Bx309.0y423.5x148.0y326.0x220.0y363.0x269.0y387.0x313.0y426.0
DATASET1_1_4500_00051.png,Bx312.5y421.5x192.0y277.0x248.0y338.0x279.0y370.0x314.0y422.0Bx312.5y421.5x433.0y566.0x359.0y487.0x313.0y420.0
DATASET1_1_4500_00061.png,Bx315.0y416.0x249.0y241.0x284.0y336.0x315.0y419.0Bx315.0y416.0x381.0y591.0x343.0y506.0x312.0y418.0
DATASET1_1_4500_00071.png,Bx305.5y405.5x317.0y594.0x307.0y511.0x303.0y405.0Bx305.5y405.5x294.0y217.0x302.0y290.0x305.0y337.0x304.0y410.0
DATASET1_1_4500_00081.png,Bx304.0y403.0x258.0y586.0x274.0y490.0x279.0y464.0x302.0y401.0Bx304.0y403.0x350.0y220.0x334.0y291.0x325.0y338.0x299.0y406.0
DATASET1_1_4500_00091.png,Bx310.0y403.5x209.0y563.0x244.0y496.0x265.0y458.0x307.0y404.0Bx310.0y403.5x411.0y244.0x359.0y333.0x345.0y359.0x307.0y403.0
DATASET1_1_5000_00001.png,Bx304.5y394.0x292.0y583.0x291.0y499.0x291.0y474.0x304.0y397.0Bx304.5y394.0x317.0y205.0x318.0y276.0x316.0y328.0x304.0y395.0
